DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
1966-0085-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,Madras state,,,Yes,No,No,,,Kph,,,,1966,11,3,1966,11,3,18,,150000,,150000,,,,,4200,39427,10.65249707,,01-07-2003,25-09-2023
1966-0143-IND,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,IND,India,Southern Asia,Asia,North,,,No,No,No,,5.6,Moment Magnitude,28.7,78.9,,1966,8,15,1966,8,15,15,,,,,,,,,,,10.65249707,,10-03-2020,25-09-2023
1967-0004-IND,Yes,nat-bio-epi-vir,Natural,Biological,Epidemic,Viral disease,,,IND,India,Southern Asia,Asia,,,,Yes,No,No,,,Vaccinated,,,,1967,1,1,1967,1,1,3029,,13576,,13576,,,,,,,10.94786822,,01-07-2003,25-09-2023
1967-0055-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,"North, Central",,,No,No,No,,,Km2,,,,1967,9,5,1967,9,5,300,,1000000,,1000000,,,,,,,10.94786822,,01-07-2003,25-09-2023
1967-0063-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,Orissa,,,No,No,No,,,Kph,,,,1967,10,8,1967,10,8,1000,,,,,,,,,,,10.94786822,,01-07-2003,25-09-2023
1967-0077-IND,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,IND,India,Southern Asia,Asia,"Maharashtra, Koynana",,,No,No,No,,6.6,Moment Magnitude,17.412,73.885,,1967,12,11,1967,12,11,177,2272,50000,,52272,,,,,400,3654,10.94786822,,01-07-2003,25-09-2023
1968-0051-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,Assam,,,No,No,No,,,Km2,,,,1968,6,12,1968,6,12,,,1000000,,1000000,,,,,,,11.41553662,,01-07-2003,25-09-2023
1968-0055-IND,Yes,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,IND,India,Southern Asia,Asia,"(1) Rajasthan, Gujarat - (2) North-East, West Bengal, Assam",,,Yes,No,No,,,Km2,,,,1968,7,,1968,7,,4892,,7500000,,7500000,,,,,94200,825191,11.41553662,,01-07-2003,25-09-2023
1968-0074-IND,Yes,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,IND,India,Southern Asia,Asia,"Bihar, Bengal",,,No,No,No,,,,,,,1968,10,1,1968,10,1,1000,,,,,,,,,,,11.41553662,,01-07-2003,25-09-2023
1968-0084-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,"Ramanathapurum, Thanjavur",,,No,No,No,,,Kph,,,,1968,12,4,1968,12,4,7,,15000,,15000,,,,,,,11.41553662,,01-07-2003,25-09-2023
